Weight,RTF,LT4,LT3,frequency,Alt
201-240,11-15,112.5,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
201-240,16-20,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
201-240,21-25,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
201-240,26-30,87.5,5.0,1,75 µg LT4 + 5 µg LT3 (2x/day)
201-240,31-35,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-240,36-40,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
201-240,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-240,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
201-240,51-55,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
201-240,56-60,50.0,2.5,1,No
201-240,61-65,37.5,2.5,1,No
201-240,66-70,25.0,2.5,1,No
201-240,71-75,25.0,2.5,1,No
201-240,76-80,12.5,2.5,1,No
201-240,81-85,12.5,0.0,0,No
201-240,86-90,0.0,0.0,0,No
201-240,91-100,0.0,0.0,0,No
241-280,0-5,125.0,10.0,1,137.5 µg LT4 + 5 µg LT3 (2x/day)
241-280,6-10,125.0,7.5,1,125 µg LT4 + 5 µg LT3 (2x/day)
241-280,11-15,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
241-280,16-20,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
241-280,21-25,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
241-280,26-30,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
241-280,31-35,75.0,7.5,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
241-280,36-40,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
241-280,41-45,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
241-280,46-50,50.0,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
241-280,51-55,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
241-280,56-60,37.5,5.0,1,37.5 µg LT4 + 2.5 µg LT3 (2x/day)
241-280,61-65,37.5,2.5,1,No
241-280,66-70,25.0,2.5,1,No
241-280,71-75,25.0,0.0,0,No
241-280,76-80,12.5,0.0,0,No
241-280,81-85,0.0,0.0,0,No
241-280,86-90,0.0,0.0,0,No
241-280,91-100,0.0,0.0,0,No
281-320,0-5,137.5,10.0,1,137.5 µg LT4 + 7.5 µg LT3 (2x/day)
281-320,6-10,125.0,10.0,1,137.5 µg LT4 + 5 µg LT3 (2x/day)
281-320,11-15,112.5,10.0,1,125 µg LT4 + 5 µg LT3 (2x/day)
281-320,16-20,100.0,10.0,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
281-320,21-25,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
281-320,26-30,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
281-320,31-35,87.5,5.0,1,75µg LT4 + 5 µg LT3 (2x/day)
281-320,36-40,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
281-320,41-45,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
281-320,46-50,50.0,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
281-320,51-55,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
281-320,56-60,37.5,2.5,1,No
281-320,61-65,25.0,2.5,1,No
281-320,66-70,12.5,2.5,1,No
281-320,71-75,12.5,0.0,0,No
281-320,76-80,0.0,0.0,0,No
281-320,81-85,0.0,0.0,0,No
281-320,86-90,0.0,0.0,0,No
281-320,91-100,0.0,0.0,0,No
