Weight,RTF,LT4,LT3,frequency,Alt
120-160,0-5,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
120-160,6-10,112.5,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
120-160,11-15,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
120-160,16-20,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
120-160,21-25,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
120-160,26-30,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
120-160,31-35,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
120-160,36-40,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
120-160,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
120-160,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
120-160,51-55,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
120-160,56-60,50.0,2.5,1,No
120-160,61-65,37.5,2.5,1,No
120-160,66-70,25.0,2.5,1,No
120-160,71-75,25.0,2.5,1,No
120-160,76-80,12.5,2.5,1,No
120-160,81-85,12.5,0.0,0,No
120-160,86-90,0.0,0.0,0,No
120-160,91-100,0.0,0.0,0,No
161-200,0-5,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
161-200,6-10,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
161-200,11-15,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
161-200,16-20,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
161-200,21-25,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
161-200,26-30,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-200,31-35,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-200,36-40,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
161-200,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-200,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
161-200,51-55,50.0,5.0,1,-
161-200,56-60,50.0,2.5,1,No
161-200,61-65,37.5,2.5,1,No
161-200,66-70,25.0,2.5,1,No
161-200,71-75,25.0,2.5,1,No
161-200,76-80,12.5,2.5,1,No
161-200,81-85,12.5,2.5,1,No
161-200,86-90,0.0,0.0,0,No
161-200,91-100,0.0,0.0,0,No
201-240,0-5,125.0,7.5,1,125 µg LT4 + 5 µg LT3 (2x/day)
201-240,6-10,112.5,10.0,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
