Weight,RTF,LT4,LT3,frequency,Alt
151-180,41-45,62.5,5.0,1,Alt = 75 µg LT4 + 2.5 µg LT3 (2x/day)
151-180,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
151-180,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
151-180,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
151-180,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
151-180,66-70,25.0,2.5,1,No
151-180,71-75,12.5,2.5,1,No
151-180,76-80,12.5,2.5,1,No
151-180,81-85,0.0,2.5,1,No
151-180,86-90,0.0,2.5,1,No
151-180,91-100,0.0,0.0,0,No
181-210,0-5,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
181-210,6-10,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
181-210,11-15,100.0,10.0,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
181-210,16-20,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
181-210,21-25,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
181-210,26-30,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
181-210,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
181-210,36-40,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
181-210,41-45,62.5,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
181-210,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-210,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
181-210,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-210,61-65,25.0,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
181-210,66-70,25.0,2.5,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
181-210,71-75,12.5,2.5,1,No
181-210,76-80,0.0,2.5,1,No
181-210,81-85,0.0,2.5,1,No
181-210,86-90,0.0,0.0,0,No
181-210,91-100,0.0,0.0,0,No
211-240,0-5,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
211-240,6-10,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
211-240,11-15,112.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
211-240,16-20,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
211-240,21-25,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
211-240,26-30,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
211-240,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
211-240,36-40,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
211-240,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
211-240,46-50,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
211-240,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
211-240,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
211-240,61-65,37.5,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
211-240,66-70,25.0,2.5,1,No
211-240,71-75,12.5,2.5,1,No
211-240,76-80,0.0,2.5,1,No
211-240,81-85,0.0,2.5,1,No
211-240,86-90,0.0,0.0,0,No
211-240,91-100,0.0,0.0,0,No
241-270,0-5,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
241-270,6-10,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
241-270,11-15,112.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
241-270,16-20,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
241-270,21-25,100.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
241-270,26-30,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
241-270,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
241-270,36-40,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
241-270,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
241-270,46-50,62.5,5.0,1,Alt = 50 µg LT4 + 5 µg LT3 (2x/day)
241-270,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
241-270,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
241-270,61-65,25.0,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
241-270,66-70,25.0,2.5,1,No
241-270,71-75,12.5,2.5,1,No
241-270,76-80,0.0,2.5,1,No
241-270,81-85,0.0,2.5,1,No
241-270,86-90,0.0,0.0,0,No
241-270,91-100,0.0,0.0,0,No
271-310,0-5,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
271-310,6-10,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
271-310,11-15,112.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
271-310,16-20,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
271-310,21-25,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
271-310,26-30,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
271-310,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
271-310,36-40,62.5,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
271-310,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
271-310,46-50,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
271-310,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
271-310,56-60,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
271-310,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
271-310,66-70,25.0,2.5,1,No
271-310,71-75,12.5,2.5,1,No
271-310,76-80,12.5,2.5,1,No
271-310,81-85,0.0,2.5,1,No
271-310,86-90,0.0,0.0,0,No
271-310,91-100,0.0,0.0,0,No
