Weight,RTF,LT4,LT3,frequency,Alt
120-150,0-5,112.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
120-150,6-10,112.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
120-150,11-15,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
120-150,16-20,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
120-150,21-25,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
120-150,26-30,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
120-150,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
120-150,36-40,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
120-150,41-45,62.5,5.0,1,Alt = 75 µg LT4 + 2.5 µg LT3 (2x/day)
120-150,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
120-150,51-55,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
120-150,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
120-150,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
120-150,66-70,37.5,2.5,1,No
120-150,71-75,25.0,2.5,1,No
120-150,76-80,12.5,2.5,1,No
120-150,81-85,0.0,2.5,1,No
120-150,86-90,0.0,2.5,1,No
120-150,91-100,0.0,0.0,0,No
151-180,0-5,125.0,7.5,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
151-180,6-10,112.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
151-180,11-15,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
151-180,16-20,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
151-180,21-25,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
151-180,26-30,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
151-180,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
151-180,36-40,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
