Weight,RTF,LT4,LT3,frequency,Alt
100-120,0-5,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
100-120,6-10,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
100-120,11-15,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
100-120,16-20,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
100-120,21-25,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
100-120,26-30,75.0,5.0,1,No
100-120,31-35,62.5,5.0,1,Alt = 75 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,36-40,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,41-45,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,46-50,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,56-60,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-120,66-70,37.5,2.5,1,No
100-120,71-75,25.0,2.5,1,No
100-120,76-80,25.0,2.5,1,No
100-120,81-85,12.5,2.5,1,No
100-120,86-90,12.5,2.5,1,No
100-120,91-100,0.0,0.0,1,No
121-140,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
121-140,6-10,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
121-140,11-15,87.5,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
121-140,16-20,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
121-140,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
121-140,26-30,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
121-140,31-35,75.0,5.0,1,Alt = 75 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,36-40,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,41-45,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,46-50,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
121-140,66-70,37.5,2.5,1,No
121-140,71-75,25.0,2.5,1,No
121-140,76-80,25.0,2.5,1,No
121-140,81-85,12.5,2.5,1,No
121-140,86-90,12.5,2.5,1,No
121-140,91-100,0.0,0.0,1,No
141-160,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
141-160,6-10,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
141-160,11-15,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
141-160,16-20,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
141-160,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
141-160,26-30,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
141-160,31-35,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
141-160,36-40,62.5,5.0,1,No
141-160,41-45,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-160,46-50,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
141-160,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
141-160,56-60,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
141-160,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-160,66-70,37.5,2.5,1,No
141-160,71-75,25.0,2.5,1,No
141-160,76-80,25.0,2.5,1,No
141-160,81-85,12.5,2.5,1,No
141-160,86-90,12.5,2.5,1,No
141-160,91-100,0.0,0.0,1,No
161-180,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
161-180,6-10,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
161-180,11-15,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
161-180,16-20,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
161-180,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
161-180,26-30,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
161-180,31-35,75.0,5.0,1,No
161-180,36-40,62.5,5.0,1,No
