Weight,RTF,LT4,LT3,frequency,Alt
281-310,56-60,25.0,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
281-310,61-65,25.0,2.5,1,No
281-310,66-70,12.5,2.5,1,No
281-310,71-75,0.0,2.5,1,No
281-310,76-80,0.0,0.0,0,No
281-310,81-85,0.0,0.0,0,No
281-310,86-90,0.0,0.0,0,No
281-310,91-100,0.0,0.0,0,No
311-340,0-5,150.0,12.5,1,Alt = 150 µg LT4 + 7.5 µg LT3 (2x/day)
311-340,6-10,137.5,10.0,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
311-340,11-15,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
311-340,16-20,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
311-340,21-25,100.0,10.0,1,Alt = 100 µg LT4 + 7.5 µg LT3 (2x/day)
311-340,26-30,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
311-340,31-35,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
311-340,36-40,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
311-340,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
311-340,46-50,50.0,7.5,1,Alt = 50 µg LT4 + 5 µg LT3 (2x/day)
311-340,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
311-340,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
311-340,61-65,25.0,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
311-340,66-70,12.5,2.5,1,No
311-340,71-75,0.0,2.5,1,No
311-340,76-80,0.0,2.5,1,No
311-340,81-85,0.0,0.0,0,No
311-340,86-90,0.0,0.0,0,No
311-340,91-100,0.0,0.0,0,No
341-360,0-5,150.0,12.5,1,Alt = 150 µg LT4 + 7.5 µg LT3 (2x/day)
341-360,6-10,137.5,10.0,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
341-360,11-15,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
341-360,16-20,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
341-360,21-25,100.0,10.0,1,Alt = 100 µg LT4 + 7.5 µg LT3 (2x/day)
341-360,26-30,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
341-360,31-35,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
341-360,36-40,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
341-360,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
341-360,46-50,50.0,7.5,1,Alt = 50 µg LT4 + 5 µg LT3 (2x/day)
341-360,51-55,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
341-360,56-60,25.0,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
341-360,61-65,12.5,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
341-360,66-70,12.5,2.5,1,No
341-360,71-75,0.0,2.5,1,No
341-360,76-80,0.0,2.5,1,No
341-360,81-85,0.0,0.0,0,No
341-360,86-90,0.0,0.0,0,No
341-360,91-100,0.0,0.0,0,No
