Weight,RTF,LT4,LT3,frequency,Alt
130-160,0-5,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
130-160,6-10,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
130-160,11-15,112.5,10.0,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
130-160,16-20,112.5,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
130-160,21-25,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
130-160,26-30,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
130-160,31-35,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
130-160,36-40,62.5,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
130-160,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
130-160,46-50,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
130-160,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
130-160,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
130-160,61-65,37.5,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
130-160,66-70,37.5,2.5,1,No
130-160,71-75,25.0,2.5,1,No
130-160,76-80,12.5,2.5,1,No
130-160,81-85,0.0,2.5,1,No
130-160,86-90,0.0,0.0,0,No
130-160,91-100,0.0,0.0,0,No
161-190,0-5,137.5,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
161-190,6-10,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
161-190,11-15,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
161-190,16-20,112.5,10.0,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
161-190,21-25,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
161-190,26-30,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
161-190,31-35,75.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
161-190,36-40,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
161-190,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
161-190,46-50,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-190,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
161-190,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-190,61-65,25.0,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-190,66-70,25.0,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
161-190,71-75,25.0,2.5,1,No
161-190,76-80,12.5,2.5,1,No
161-190,81-85,0.0,2.5,1,No
161-190,86-90,0.0,0.0,0,No
161-190,91-100,0.0,0.0,0,No
191-220,0-5,137.5,12.5,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
191-220,6-10,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
191-220,11-15,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
191-220,16-20,112.5,10.0,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
191-220,21-25,100.0,10.0,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
191-220,26-30,87.5,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
191-220,31-35,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
191-220,36-40,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
191-220,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
191-220,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
191-220,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
191-220,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
191-220,61-65,25.0,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
191-220,66-70,12.5,5.0,1,Alt = 12.5 µg LT4 + 2.5 µg LT3 (2x/day)
191-220,71-75,12.5,2.5,1,No
191-220,76-80,0.0,2.5,1,No
191-220,81-85,0.0,2.5,1,No
191-220,86-90,0.0,0.0,0,No
191-220,91-100,0.0,0.0,0,No
221-250,0-5,137.5,12.5,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
221-250,6-10,137.5,10.0,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
221-250,11-15,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
221-250,16-20,112.5,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
221-250,21-25,100.0,10.0,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
221-250,26-30,87.5,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
221-250,31-35,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
221-250,36-40,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
221-250,41-45,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
221-250,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
221-250,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
221-250,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
221-250,61-65,25.0,5.0,1,Alt = 25 µg LT4 + 2.5 µg LT3 (2x/day)
221-250,66-70,12.5,5.0,1,Alt = 12.5 µg LT4 + 2.5 µg LT3 (2x/day)
221-250,71-75,12.5,2.5,1,No
221-250,76-80,0.0,2.5,1,No
221-250,81-85,0.0,2.5,1,No
221-250,86-90,0.0,0.0,0,No
221-250,91-100,0.0,0.0,0,No
251-280,0-5,150.0,12.5,1,Alt = 150 µg LT4 + 7.5 µg LT3 (2x/day)
251-280,6-10,137.5,10.0,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
251-280,11-15,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
251-280,16-20,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
251-280,21-25,100.0,10.0,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
251-280,26-30,87.5,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
251-280,31-35,87.5,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
251-280,36-40,75.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
251-280,41-45,62.5,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
251-280,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
251-280,51-55,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
251-280,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
251-280,61-65,25.0,2.5,1,No
251-280,66-70,12.5,2.5,1,No
251-280,71-75,0.0,2.5,1,No
251-280,76-80,0.0,0.0,0,No
251-280,81-85,0.0,0.0,0,No
251-280,86-90,0.0,0.0,0,No
251-280,91-100,0.0,0.0,0,No
281-310,0-5,150.0,12.5,1,Alt = 150 µg LT4 + 7.5 µg LT3 (2x/day)
281-310,6-10,137.5,10.0,1,Alt = 137.5 µg LT4 + 7.5 µg LT3 (2x/day)
281-310,11-15,125.0,10.0,1,Alt = 125 µg LT4 + 7.5 µg LT3 (2x/day)
281-310,16-20,112.5,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
281-310,21-25,100.0,10.0,1,Alt = 112.5 µg LT4 + 7.5 µg LT3 (2x/day)
281-310,26-30,100.0,7.5,1,Alt = 112.5 µg LT4 + 5 µg LT3 (2x/day)
281-310,31-35,87.5,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
281-310,36-40,75.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
281-310,41-45,62.5,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
281-310,46-50,50.0,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
281-310,51-55,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
