Weight,Height,a,b,c,d
100,60,1.260262646,3.176231582,1.095953893,1.148655397
100,65,1.447370736,3.176231185,1.152215296,1.148655358
100,70,1.673405754,3.176231501,1.214296597,1.148655361
110,60,1.375684487,3.194276177,1.135005198,1.148969522
110,65,1.576843379,3.194275772,1.19211156,1.148969471
110,70,1.819131779,3.1942758,1.255004482,1.148969474
110,75,2.089588323,3.194276301,1.319160896,1.148969492
