Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point,,lower_asymptote_std_error,upper_asymptote_std_error,growth_rate_std_error,inflection_point_std_error,lower_asymptote_ratio,upper_asymptote_ratio,growth_rate_ratio,inflection_point_ratio
170,65,-0.004687588,1.53949711,0.2855614873,9.182111095,,0.0043646047,0.072491855,0.0152797337,0.1825918959,-1.074000474,21.23682875,18.68890474,50.28761574
170,70,-0.00492687,1.520853096,0.2779526462,9.339706181,,0.0043887223,0.0697005428,0.0147155114,0.1831189728,-1.122620669,21.81981712,18.88841228,51.00348717
170,75,-0.005209818,1.500737048,0.2693469942,9.527517808,,0.0044174234,0.0667383716,0.0140937119,0.1839483562,-1.179379296,22.48686942,19.11114653,51.7945254
170,80,-0.005531574,1.480055089,0.2600289804,9.743471773,,0.0044502955,0.0637471301,0.0134391947,0.1851441013,-1.242967891,23.21759564,19.34855374,52.6264229
180,60,-0.00448236,1.550650627,0.2896799653,9.130406619,,0.0043486923,0.0742822869,0.0156164257,0.1828384996,-1.030737359,20.87510619,18.549697,49.93700255
180,65,-0.004677415,1.534478321,0.2832572596,9.25997873,,0.0043682903,0.0718323481,0.0151321623,0.1831942765,-1.070765586,21.36194014,18.71888855,50.54731462
180,70,-0.004922635,1.515715084,0.2754928942,9.423773498,,0.0043930654,0.0690312855,0.0145599366,0.1838012513,-1.120546827,21.95692973,18.92129762,51.27154157
180,75,-0.005212532,1.495507118,0.2667212707,9.619066314,,0.0044225451,0.0660647861,0.0139302414,0.1847338028,-1.178627263,22.63697813,19.14692375,52.0698766
180,80,-0.005542063,1.47477187,0.2572362501,9.843731561,,0.0044563,0.0630757234,0.013268503,0.1860571307,-1.243646764,23.38097431,19.38698357,52.90703735
190,60,-0.004471269,1.546080108,0.2876291621,9.199237692,,0.0043527827,0.07369241,0.0154871573,0.1833968189,-1.027220737,20.98018111,18.57210829,50.16029038
190,65,-0.004670912,1.52978971,0.2810790077,9.333523219,,0.0043728891,0.0712303796,0.0149958829,0.1838101904,-1.068152501,21.47664688,18.74374513,50.77805098
190,70,-0.004921869,1.510917787,0.2731675369,9.503346426,,0.0043983058,0.0684202425,0.0144160627,0.1844961149,-1.119037533,22.08290607,18.94883114,51.50973738
190,75,-0.00521847,1.490628087,0.2642395304,9.70591805,,0.0044285446,0.0654498921,0.0137789093,0.1855305461,-1.178371227,22.77510382,19.17710058,52.31439379
190,80,-0.005555489,1.469848521,0.2545978961,9.939063976,,0.0044631594,0.0624632033,0.0131103907,0.186979811,-1.244743689,23.53143041,19.41955063,53.15581356
200,60,-0.004463396,1.54179015,0.2856842537,9.264363548,,0.0043576328,0.0731513061,0.0153673566,0.1839655375,-1.02427082,21.07672756,18.59033146,50.35923399
200,65,-0.004667487,1.525390542,0.2790129055,9.403236668,,0.0043782364,0.0706778873,0.0148693922,0.1844359063,-1.066065459,21.58228832,18.76424417,50.98376371
200,70,-0.004923995,1.506419463,0.2709619505,9.578930501,,0.0044042804,0.0678593244,0.0142823501,0.1851999341,-1.118002209,22.19915211,18.9718042,51.72210533
