weight,height,a,b,c,d
100,60,-0.004366684,1.583624879,0.2753882576,9.654732683
210,60,-0.004505826,1.570442336,0.2710116036,9.751844566
110,65,-0.004580845,1.563634629,0.2687021788,9.804204013
240,65,-0.004805948,1.544354663,0.2619636983,9.961602884
120,70,-0.004837666,1.541781154,0.2610390824,9.983751687
280,70,-0.00521032,1.513464197,0.2505101376,10.24632638
130,75,-0.005127439,1.519454877,0.252795832,10.18765999
320,75,-0.005741518,1.478809805,0.2365731856,10.6260107
150,80,-0.005553357,1.490408177,0.2413774483,10.49065098
360,80,-0.006394995,1.443300071,0.2208872991,11.10516343
