weight,height,a,b,c,d
90,55,-0.001255061,1.784457437,1.535195746,2.588956154
170,55,-0.001474308,1.742543214,1.47962243,2.637768941
90,60,-0.001368763,1.76222525,1.505805358,2.614414574
210,60,-0.001668633,1.708545959,1.433875455,2.680164482
100,65,-0.001535614,1.731370839,1.46475578,2.651329538
240,65,-0.001854005,1.678550467,1.393069316,2.719812707
110,70,-0.001806006,1.686052745,1.403323272,2.709686978
280,70,-0.002111555,1.640533707,1.340504482,2.773628677
120,75,-0.00225495,1.621132613,1.313100348,2.802995276
320,75,-0.002410364,1.601253714,1.284810959,2.834327793
